title,text,source,source_type,url,published,collected_at,full_text,auto_sentiment,manual_sentiment
"May 26, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 26, 2020, Tuesday. ",Neutral,
"May 25, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 25, 2020, Monday. ",Neutral,
"May 24, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 24, 2020, Sunday. ",Neutral,
"May 23, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 23, 2020, Saturday. ",Neutral,
"May 22, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 22, 2020, Friday. ",Neutral,
"May 21, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 21, 2020, Thursday. ",Neutral,
"May 20, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 20, 2020, Wednesday. ",Neutral,
"May 19, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 19, 2020, Tuesday. ",Neutral,
"May 18, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 18, 2020, Monday. ",Neutral,
"May 17, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 17, 2020, Sunday. ",Neutral,
"May 15, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 15, 2020, Friday. ",Neutral,
"May 14, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 14, 2020, Thursday. ",Neutral,
"May 13, 2020, Wednesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 13, 2020, Wednesday. ",Neutral,
"May 12, 2020, Tuesday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 12, 2020, Tuesday. ",Neutral,
"May 11, 2020, Monday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 11, 2020, Monday. ",Neutral,
"May 10, 2020, Sunday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 10, 2020, Sunday. ",Neutral,
"May 09, 2020, Saturday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 09, 2020, Saturday. ",Neutral,
"May 08, 2020, Friday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 08, 2020, Friday. ",Neutral,
"May 07, 2020, Thursday",,Kaggle-BusinessStandard,news,,,2026-02-10T15:09:11.570473,"May 07, 2020, Thursday. ",Neutral,
